-----------------------------------------------------------------------------------
Identifier:,IHS5922-20175P01
File Name:,RSRP70A.1
Ear:,R
Channel:,1
Intensity:,70 dB HL
Stim. Rate:,  1.10/s
Stim. Mode:,0
Sweeps:,184
Artifacts:,62
Smp. Period:,700.00 us
Amp. Gain:, 50.00 K
Low Pass:, 30.00 Hz
High Pass:,  1.00 Hz
Notch Filter:,TRUE
Stimulus:,100
Stim. Freq.:,1000 Hz
Stim. Dur.:,2000 pnts
Masking:,0 dB SPL
Stim. Point:,513
-----------------------------------------------------------------------------------
Peak Information:,Label,Peak(+),Peak(+)(ms),Peak(-),Peak(-)(ms)
,20, 844,231.70, 869,249.20,
,19, 781,187.60, 844,231.70,
,18, 695,127.40, 781,187.60,
,17, 629,81.20, 695,127.40,
-----------------------------------------------------------------------------------


Data Pnt:,Data Pnt(ms):,Average:,Average(uV):,Buffer1:,Buffer1(uV):,Buffer2:,Buffer2(uV):
   1,-358.40,  -75365, -2.50,   -6664, -0.44,  -68701, -4.56
   2,-357.70,  -75365, -2.50,   -6664, -0.44,  -68701, -4.56
   3,-357.00,  -75365, -2.50,   -6664, -0.44,  -68701, -4.56
   4,-356.30,  -75365, -2.50,   -6664, -0.44,  -68701, -4.56
   5,-355.60,  -74987, -2.49,   -6522, -0.43,  -68465, -4.54
   6,-354.90,  -74444, -2.47,   -6380, -0.42,  -68064, -4.52
   7,-354.20,  -73971, -2.45,   -6380, -0.42,  -67591, -4.48
   8,-353.50,  -73935, -2.45,   -6689, -0.44,  -67246, -4.46
   9,-352.80,  -74558, -2.47,   -7363, -0.49,  -67195, -4.46
  10,-352.10,  -75865, -2.52,   -8360, -0.55,  -67505, -4.48
  11,-351.40,  -77647, -2.58,   -9565, -0.63,  -68082, -4.52
  12,-350.70,  -79556, -2.64,  -10865, -0.72,  -68691, -4.56
  13,-350.00,  -81231, -2.69,  -12199, -0.81,  -69032, -4.58
  14,-349.30,  -82421, -2.73,  -13559, -0.90,  -68862, -4.57
  15,-348.60,  -83026, -2.75,  -14950, -0.99,  -68076, -4.52
  16,-347.90,  -83074, -2.76,  -16340, -1.08,  -66734, -4.43
  17,-347.20,  -82648, -2.74,  -17633, -1.17,  -65015, -4.31
  18,-346.50,  -81816, -2.71,  -18679, -1.24,  -63137, -4.19
  19,-345.80,  -80608, -2.67,  -19321, -1.28,  -61287, -4.07
  20,-345.10,  -79041, -2.62,  -19457, -1.29,  -59584, -3.95
  21,-344.40,  -77167, -2.56,  -19083, -1.27,  -58084, -3.85
  22,-343.70,  -75101, -2.49,  -18297, -1.21,  -56804, -3.77
  23,-343.00,  -73018, -2.42,  -17271, -1.15,  -55747, -3.70
  24,-342.30,  -71108, -2.36,  -16187, -1.07,  -54921, -3.64
  25,-341.60,  -69510, -2.31,  -15189, -1.01,  -54321, -3.60
  26,-340.90,  -68271, -2.26,  -14353, -0.95,  -53918, -3.58
  27,-340.20,  -67322, -2.23,  -13694, -0.91,  -53628, -3.56
  28,-339.50,  -66524, -2.21,  -13207, -0.88,  -53317, -3.54
  29,-338.80,  -65720, -2.18,  -12888, -0.86,  -52832, -3.51
  30,-338.10,  -64799, -2.15,  -12748, -0.85,  -52051, -3.45
  31,-337.40,  -63727, -2.11,  -12794, -0.85,  -50933, -3.38
  32,-336.70,  -62545, -2.07,  -13009, -0.86,  -49536, -3.29
  33,-336.00,  -61333, -2.03,  -13337, -0.88,  -47996, -3.18
  34,-335.30,  -60164, -2.00,  -13692, -0.91,  -46472, -3.08
  35,-334.60,  -59073, -1.96,  -13983, -0.93,  -45090, -2.99
  36,-333.90,  -58059, -1.93,  -14145, -0.94,  -43914, -2.91
  37,-333.20,  -57101, -1.89,  -14152, -0.94,  -42949, -2.85
