-----------------------------------------------------------------------------------
Identifier:,IHS5922-20175P01
File Name:,RSRP70A.2
Ear:,R
Channel:,1
Intensity:,70 dB HL
Stim. Rate:,  1.10/s
Stim. Mode:,0
Sweeps:,61
Artifacts:,1
Smp. Period:,700.00 us
Amp. Gain:, 50.00 K
Low Pass:, 30.00 Hz
High Pass:,  1.00 Hz
Notch Filter:,TRUE
Stimulus:,100
Stim. Freq.:,1000 Hz
Stim. Dur.:,2000 pnts
Masking:,0 dB SPL
Stim. Point:,513
-----------------------------------------------------------------------------------
Peak Information:,Label,Peak(+),Peak(+)(ms),Peak(-),Peak(-)(ms)
,21, 887,261.80, 967,317.80,
-----------------------------------------------------------------------------------


Data Pnt:,Data Pnt(ms):,Average:,Average(uV):,Buffer1:,Buffer1(uV):,Buffer2:,Buffer2(uV):
   1,-358.40,   -2994, -0.30,    -263, -0.05,   -2731, -0.56
   2,-357.70,   -2994, -0.30,    -263, -0.05,   -2731, -0.56
   3,-357.00,   -2994, -0.30,    -263, -0.05,   -2731, -0.56
   4,-356.30,   -2994, -0.30,    -263, -0.05,   -2731, -0.56
   5,-355.60,   -2878, -0.29,    -280, -0.06,   -2598, -0.53
   6,-354.90,   -2608, -0.26,    -284, -0.06,   -2324, -0.47
   7,-354.20,   -2135, -0.21,    -240, -0.05,   -1895, -0.39
   8,-353.50,   -1464, -0.15,    -108, -0.02,   -1356, -0.28
   9,-352.80,    -632, -0.06,     139,  0.03,    -771, -0.16
  10,-352.10,     291,  0.03,     516,  0.10,    -225, -0.05
  11,-351.40,    1228,  0.12,    1024,  0.21,     204,  0.04
  12,-350.70,    2118,  0.21,    1658,  0.34,     460,  0.09
  13,-350.00,    2937,  0.29,    2412,  0.49,     525,  0.11
  14,-349.30,    3690,  0.37,    3269,  0.67,     421,  0.09
  15,-348.60,    4404,  0.44,    4199,  0.85,     205,  0.04
  16,-347.90,    5096,  0.51,    5148,  1.05,     -52, -0.01
  17,-347.20,    5750,  0.58,    6035,  1.23,    -285, -0.06
  18,-346.50,    6322,  0.63,    6766,  1.38,    -444, -0.09
  19,-345.80,    6747,  0.68,    7249,  1.47,    -502, -0.10
  20,-345.10,    6969,  0.70,    7424,  1.51,    -455, -0.09
  21,-344.40,    6970,  0.70,    7284,  1.48,    -314, -0.06
  22,-343.70,    6782,  0.68,    6880,  1.40,     -98, -0.02
  23,-343.00,    6475,  0.65,    6310,  1.28,     165,  0.03
  24,-342.30,    6139,  0.61,    5688,  1.16,     451,  0.09
