-----------------------------------------------------------------------------------
Identifier:,IHS5922-20175P01
File Name:,JALP70B.6
Ear:,L
Channel:,2
Intensity:,70 dB HL
Stim. Rate:,  1.10/s
Stim. Mode:,0
Sweeps:,61
Artifacts:,0
Smp. Period:,700.00 us
Amp. Gain:, 50.00 K
Low Pass:, 30.00 Hz
High Pass:,  1.00 Hz
Notch Filter:,TRUE
Stimulus:,100
Stim. Freq.:,1000 Hz
Stim. Dur.:,2000 pnts
Masking:,0 dB SPL
Stim. Point:,513
-----------------------------------------------------------------------------------
Peak Information:,Label,Peak(+),Peak(+)(ms),Peak(-),Peak(-)(ms)
,21, 908,276.50,1023,357.00,
-----------------------------------------------------------------------------------


Data Pnt:,Data Pnt(ms):,Average:,Average(uV):,Buffer1:,Buffer1(uV):,Buffer2:,Buffer2(uV):
   1,-358.40,  -23514, -2.35,    1590,  0.32,  -25104, -5.11
   2,-357.70,  -23778, -2.38,    1411,  0.29,  -25189, -5.12
   3,-357.00,  -23583, -2.36,    1594,  0.32,  -25177, -5.12
   4,-356.30,  -22999, -2.30,    2066,  0.42,  -25065, -5.10
   5,-355.60,  -22540, -2.26,    2361,  0.48,  -24901, -5.07
   6,-354.90,  -21803, -2.18,    2693,  0.55,  -24496, -4.98
   7,-354.20,  -21305, -2.13,    2602,  0.53,  -23907, -4.86
   8,-353.50,  -20833, -2.08,    2342,  0.48,  -23175, -4.72
   9,-352.80,  -20455, -2.05,    1983,  0.40,  -22438, -4.57
  10,-352.10,  -20317, -2.03,    1230,  0.25,  -21547, -4.38
  11,-351.40,  -20334, -2.03,     314,  0.06,  -20648, -4.20
  12,-350.70,  -21021, -2.10,    -946, -0.19,  -20075, -4.08
  13,-350.00,  -21526, -2.15,   -1887, -0.38,  -19639, -4.00
  14,-349.30,  -21740, -2.18,   -2636, -0.54,  -19104, -3.89
  15,-348.60,  -21758, -2.18,   -3539, -0.72,  -18219, -3.71
  16,-347.90,  -21750, -2.18,   -4229, -0.86,  -17521, -3.56
  17,-347.20,  -22004, -2.20,   -4816, -0.98,  -17188, -3.50
  18,-346.50,  -22243, -2.23,   -5288, -1.08,  -16955, -3.45
  19,-345.80,  -22377, -2.24,   -5751, -1.17,  -16626, -3.38
  20,-345.10,  -22314, -2.23,   -5954, -1.21,  -16360, -3.33
  21,-344.40,  -22599, -2.26,   -6361, -1.29,  -16238, -3.30
  22,-343.70,  -22868, -2.29,   -6436, -1.31,  -16432, -3.34
  23,-343.00,  -23061, -2.31,   -6116, -1.24,  -16945, -3.45
  24,-342.30,  -23443, -2.35,   -5871, -1.19,  -17572, -3.58
  25,-341.60,  -23374, -2.34,   -5491, -1.12,  -17883, -3.64
  26,-340.90,  -22538, -2.26,   -5014, -1.02,  -17524, -3.57
  27,-340.20,  -21645, -2.17,   -4502, -0.92,  -17143, -3.49
  28,-339.50,  -20776, -2.08,   -4025, -0.82,  -16751, -3.41
  29,-338.80,  -20348, -2.04,   -3907, -0.79,  -16441, -3.35
  30,-338.10,  -19986, -2.00,   -3998, -0.81,  -15988, -3.25
  31,-337.40,  -19631, -1.96,   -4062, -0.83,  -15569, -3.17
  32,-336.70,  -19157, -1.92,   -4087, -0.83,  -15070, -3.07
  33,-336.00,  -18144, -1.82,   -3722, -0.76,  -14422, -2.93
  34,-335.30,  -16671, -1.67,   -3140, -0.64,  -13531, -2.75
  35,-334.60,  -15355, -1.54,   -2849, -0.58,  -12506, -2.54
  36,-333.90,  -14341, -1.43,   -2672, -0.54,  -11669, -2.37
  37,-333.20,  -13576, -1.36,   -2739, -0.56,  -10837, -2.20
  38,-332.50,  -13476, -1.35,   -3312, -0.67,  -10164, -2.07
  39,-331.80,  -13684, -1.37,   -4018, -0.82,   -9666, -1.97
  40,-331.10,  -13872, -1.39,   -4598, -0.94,   -9274, -1.89
  41,-330.40,  -13783, -1.38,   -5000, -1.02,   -8783, -1.79
  42,-329.70,  -13517, -1.35,   -5080, -1.03,   -8437, -1.72
  43,-329.00,  -13716, -1.37,   -5246, -1.07,   -8470, -1.72
  44,-328.30,  -14354, -1.44,   -5662, -1.15,   -8692, -1.77
  45,-327.60,  -14917, -1.49,   -5953, -1.21,   -8964, -1.82
  46,-326.90,  -15303, -1.53,   -5959, -1.21,   -9344, -1.90
  47,-326.20,  -14844, -1.49,   -4977, -1.01,   -9867, -2.01
  48,-325.50,  -14073, -1.41,   -3678, -0.75,  -10395, -2.11
  49,-324.80,  -13980, -1.40,   -3111, -0.63,  -10869, -2.21
  50,-324.10,  -13800, -1.38,   -2586, -0.53,  -11214, -2.28
  51,-323.40,  -13304, -1.33,   -2023, -0.41,  -11281, -2.30
  52,-322.70,  -12832, -1.28,   -1706, -0.35,  -11126, -2.26
  53,-322.00,  -12237, -1.22,   -1501, -0.31,  -10736, -2.18
  54,-321.30,  -11176, -1.12,   -1249, -0.25,   -9927, -2.02
  55,-320.60,  -10306, -1.03,   -1304, -0.27,   -9002, -1.83
  56,-319.90,   -9247, -0.93,   -1437, -0.29,   -7810, -1.59
  57,-319.20,   -8313, -0.83,   -1718, -0.35,   -6595, -1.34
  58,-318.50,   -7280, -0.73,   -1877, -0.38,   -5403, -1.10
  59,-317.80,   -6654, -0.67,   -1996, -0.41,   -4658, -0.95
  60,-317.10,   -6090, -0.61,   -2035, -0.41,   -4055, -0.83
  61,-316.40,   -5612, -0.56,   -2031, -0.41,   -3581, -0.73
  62,-315.70,   -5116, -0.51,   -1905, -0.39,   -3211, -0.65
  63,-315.00,   -4448, -0.45,   -1715, -0.35,   -2733, -0.56
  64,-314.30,   -3525, -0.35,   -1296, -0.26,   -2229, -0.45
  65,-313.60,   -2492, -0.25,    -840, -0.17,   -1652, -0.34
  66,-312.90,   -1606, -0.16,    -347, -0.07,   -1259, -0.26
  67,-312.20,    -974, -0.10,      75,  0.02,   -1049, -0.21
  68,-311.50,    -607, -0.06,     332,  0.07,    -939, -0.19
  69,-310.80,    -197, -0.02,     904,  0.18,   -1101, -0.22
  70,-310.10,     309,  0.03,    1835,  0.37,   -1526, -0.31
  71,-309.40,    1073,  0.11,    2946,  0.60,   -1873, -0.38
  72,-308.70,    1686,  0.17,    3904,  0.79,   -2218, -0.45
  73,-308.00,    2196,  0.22,    4761,  0.97,   -2565, -0.52
  74,-307.30,    3100,  0.31,    5811,  1.18,   -2711, -0.55
  75,-306.60,    4211,  0.42,    6951,  1.41,   -2740, -0.56
  76,-305.90,    5950,  0.60,    8254,  1.68,   -2304, -0.47
  77,-305.20,    7672,  0.77,    9388,  1.91,   -1716, -0.35
  78,-304.50,    9492,  0.95,   10429,  2.12,    -937, -0.19
  79,-303.80,   11031,  1.10,   11343,  2.31,    -312, -0.06
  80,-303.10,   12152,  1.22,   11862,  2.41,     290,  0.06
  81,-302.40,   13135,  1.31,   12156,  2.47,     979,  0.20
  82,-301.70,   13646,  1.37,   12122,  2.47,    1524,  0.31
  83,-301.00,   13837,  1.38,   11938,  2.43,    1899,  0.39
  84,-300.30,   13768,  1.38,   11512,  2.34,    2256,  0.46
  85,-299.60,   13612,  1.36,   10773,  2.19,    2839,  0.58
  86,-298.90,   12977,  1.30,    9469,  1.93,    3508,  0.71
  87,-298.20,   12062,  1.21,    7878,  1.60,    4184,  0.85
  88,-297.50,   10865,  1.09,    6247,  1.27,    4618,  0.94
  89,-296.80,    9214,  0.92,    4468,  0.91,    4746,  0.97
  90,-296.10,    7733,  0.77,    2929,  0.60,    4804,  0.98
  91,-295.40,    6595,  0.66,    1679,  0.34,    4916,  1.00
  92,-294.70,    5952,  0.60,     999,  0.20,    4953,  1.01
  93,-294.00,    6213,  0.62,    1286,  0.26,    4927,  1.00
  94,-293.30,    6977,  0.70,    2107,  0.43,    4870,  0.99
  95,-292.60,    7354,  0.74,    2682,  0.55,    4672,  0.95
  96,-291.90,    7487,  0.75,    2904,  0.59,    4583,  0.93
  97,-291.20,    7486,  0.75,    2916,  0.59,    4570,  0.93
  98,-290.50,    7624,  0.76,    2946,  0.60,    4678,  0.95
  99,-289.80,    8081,  0.81,    3091,  0.63,    4990,  1.02
 100,-289.10,    8273,  0.83,    2929,  0.60,    5344,  1.09
 101,-288.40,    8133,  0.81,    2526,  0.51,    5607,  1.14
 102,-287.70,    8035,  0.80,    2212,  0.45,    5823,  1.18
 103,-287.00,    8085,  0.81,    2191,  0.45,    5894,  1.20
 104,-286.30,    8667,  0.87,    2629,  0.53,    6038,  1.23
 105,-285.60,    8993,  0.90,    2810,  0.57,    6183,  1.26
 106,-284.90,    8949,  0.90,    2536,  0.52,    6413,  1.30
 107,-284.20,    9116,  0.91,    2298,  0.47,    6818,  1.39
 108,-283.50,    9558,  0.96,    2255,  0.46,    7303,  1.49
 109,-282.80,   10096,  1.01,    2395,  0.49,    7701,  1.57
 110,-282.10,   10819,  1.08,    2832,  0.58,    7987,  1.63
 111,-281.40,   11350,  1.14,    3348,  0.68,    8002,  1.63
 112,-280.70,   11646,  1.17,    3888,  0.79,    7758,  1.58
 113,-280.00,   11845,  1.19,    4589,  0.93,    7256,  1.48
 114,-279.30,   12038,  1.20,    5274,  1.07,    6764,  1.38
 115,-278.60,   12101,  1.21,    5802,  1.18,    6299,  1.28
 116,-277.90,   11828,  1.18,    6066,  1.23,    5762,  1.17
 117,-277.20,   11048,  1.11,    6077,  1.24,    4971,  1.01
 118,-276.50,   10547,  1.06,    6356,  1.29,    4191,  0.85
 119,-275.80,    9748,  0.98,    6465,  1.32,    3283,  0.67
 120,-275.10,    8663,  0.87,    6289,  1.28,    2374,  0.48
 121,-274.40,    7805,  0.78,    6149,  1.25,    1656,  0.34
 122,-273.70,    7002,  0.70,    5920,  1.20,    1082,  0.22
 123,-273.00,    6092,  0.61,    5415,  1.10,     677,  0.14
 124,-272.30,    5233,  0.52,    4772,  0.97,     461,  0.09
 125,-271.60,    4269,  0.43,    4096,  0.83,     173,  0.04
 126,-270.90,    3717,  0.37,    3614,  0.74,     103,  0.02
 127,-270.20,    3139,  0.31,    3240,  0.66,    -101, -0.02
 128,-269.50,    2715,  0.27,    3009,  0.61,    -294, -0.06
 129,-268.80,    1983,  0.20,    2505,  0.51,    -522, -0.11
 130,-268.10,     955,  0.10,    1788,  0.36,    -833, -0.17
 131,-267.40,    -101, -0.01,    1026,  0.21,   -1127, -0.23
 132,-266.70,    -967, -0.10,     615,  0.13,   -1582, -0.32
 133,-266.00,   -1863, -0.19,      68,  0.01,   -1931, -0.39
 134,-265.30,   -2702, -0.27,    -516, -0.10,   -2186, -0.44
 135,-264.60,   -3657, -0.37,   -1146, -0.23,   -2511, -0.51
 136,-263.90,   -4851, -0.49,   -1857, -0.38,   -2994, -0.61
 137,-263.20,   -6089, -0.61,   -2292, -0.47,   -3797, -0.77
 138,-262.50,   -7311, -0.73,   -2672, -0.54,   -4639, -0.94
 139,-261.80,   -8648, -0.87,   -2871, -0.58,   -5777, -1.18
 140,-261.10,  -10020, -1.00,   -2983, -0.61,   -7037, -1.43
 141,-260.40,  -11274, -1.13,   -2984, -0.61,   -8290, -1.69
 142,-259.70,  -12192, -1.22,   -2747, -0.56,   -9445, -1.92
 143,-259.00,  -13352, -1.34,   -2671, -0.54,  -10681, -2.17
 144,-258.30,  -14750, -1.48,   -2665, -0.54,  -12085, -2.46
 145,-257.60,  -16207, -1.62,   -2875, -0.58,  -13332, -2.71
 146,-256.90,  -17570, -1.76,   -3208, -0.65,  -14362, -2.92
 147,-256.20,  -18522, -1.85,   -3484, -0.71,  -15038, -3.06
 148,-255.50,  -19146, -1.92,   -3652, -0.74,  -15494, -3.15
 149,-254.80,  -19887, -1.99,   -3962, -0.81,  -15925, -3.24
 150,-254.10,  -20352, -2.04,   -3972, -0.81,  -16380, -3.33
 151,-253.40,  -20414, -2.04,   -3550, -0.72,  -16864, -3.43
 152,-252.70,  -20121, -2.01,   -2829, -0.58,  -17292, -3.52
 153,-252.00,  -20413, -2.04,   -2581, -0.53,  -17832, -3.63
 154,-251.30,  -20667, -2.07,   -2708, -0.55,  -17959, -3.65
 155,-250.60,  -20673, -2.07,   -2673, -0.54,  -18000, -3.66
 156,-249.90,  -20701, -2.07,   -2648, -0.54,  -18053, -3.67
 157,-249.20,  -20896, -2.09,   -2729, -0.56,  -18167, -3.70
 158,-248.50,  -21035, -2.10,   -2912, -0.59,  -18123, -3.69
 159,-247.80,  -20986, -2.10,   -3078, -0.63,  -17908, -3.64
 160,-247.10,  -21131, -2.11,   -3428, -0.70,  -17703, -3.60
 161,-246.40,  -21274, -2.13,   -3611, -0.73,  -17663, -3.59
 162,-245.70,  -21680, -2.17,   -3585, -0.73,  -18095, -3.68
 163,-245.00,  -22246, -2.23,   -3380, -0.69,  -18866, -3.84
 164,-244.30,  -22501, -2.25,   -2926, -0.60,  -19575, -3.98
 165,-243.60,  -22591, -2.26,   -2497, -0.51,  -20094, -4.09
 166,-242.90,  -21926, -2.19,   -1795, -0.37,  -20131, -4.10
 167,-242.20,  -21177, -2.12,   -1112, -0.23,  -20065, -4.08
 168,-241.50,  -20467, -2.05,    -479, -0.10,  -19988, -4.07
 169,-240.80,  -19880, -1.99,     127,  0.03,  -20007, -4.07
 170,-240.10,  -19397, -1.94,     581,  0.12,  -19978, -4.06
 171,-239.40,  -18753, -1.88,     896,  0.18,  -19649, -4.00
 172,-238.70,  -18110, -1.81,    1020,  0.21,  -19130, -3.89
 173,-238.00,  -17311, -1.73,    1103,  0.22,  -18414, -3.75
